run,evaluations,best_fitness,current_fitness,temperature,accepted
16,8534.4,983128.101051,983128.101051,0.112642,1
16,8686.4,983128.101051,983128.101051,0.101378,0
16,8931.4,983127.896569,983127.896569,5.000000,1
16,8950.2,983120.088705,983120.088705,4.500000,1
16,8989.2,983120.028499,983120.028499,4.050000,1
16,8990.2,983120.028499,983120.028499,3.645000,1
16,9009.0,983100.034251,983100.034251,3.280500,1
16,9161.0,983100.034251,983100.034251,2.952450,0
16,9173.4,983100.034251,983100.034251,2.657205,1
16,9473.4,983096.945577,983096.945577,2.391485,1
16,9474.4,983096.945577,983096.945577,2.152336,1
16,9493.2,981796.047466,981796.047466,1.937102,1
16,9646.2,981795.775306,981795.775306,1.743392,1
16,9647.2,981795.775306,981795.775306,1.569053,1
16,9666.0,981768.658514,981768.658514,1.412148,1
16,9820.0,981768.658514,981768.658514,1.270933,0
16,9825.1,981768.658514,981768.658514,1.143840,1
16,9979.1,981766.937553,981766.937553,1.029456,1
16,10046.1,981766.937553,981766.937553,0.926510,0
16,10064.9,980894.234958,980894.234958,0.833859,1
16,10651.9,980894.234958,980894.234958,0.750473,1
16,10652.9,980894.234958,980894.234958,0.675426,1
16,10671.7,979398.296816,979398.296816,0.607883,1
16,10738.7,979387.450920,979387.450920,0.547095,1
16,10743.8,979387.450920,979387.450920,0.492385,1
16,10744.8,979387.450920,979387.450920,0.443147,1
16,10745.8,979387.450920,979387.450920,0.398832,0
16,10764.6,979373.010667,979373.010667,0.358949,1
16,11363.6,979373.010667,979373.010667,0.323054,1
16,11364.6,979373.010667,979373.010667,0.290749,1
16,11383.4,979324.637948,979324.637948,0.261674,1
16,11477.4,979316.661161,979316.661161,0.235506,1
16,11482.4,979316.661161,979316.661161,0.211956,1
16,11483.4,979316.661161,979316.661161,0.190760,1
16,11618.2,977694.707390,977694.707390,0.171684,1
16,11637.0,974810.184781,974810.184781,0.154516,1
16,12253.0,974810.184781,974810.184781,0.139064,1
16,12254.0,974810.184781,974810.184781,0.125158,1
16,12272.8,973930.159974,973930.159974,0.112642,1
16,12491.8,973737.618986,973737.618986,0.101378,1
16,12523.8,973737.618986,973737.618986,5.000000,0
16,12542.6,973600.037363,973600.037363,4.500000,1
16,13159.6,973600.037363,973600.037363,4.050000,1
16,13160.6,973600.037363,973600.037363,3.645000,1
16,13179.4,973544.417781,973544.417781,3.280500,1
16,13257.4,973531.922048,973531.922048,2.952450,1
16,13269.9,973531.922048,973531.922048,2.657205,1
16,13270.9,973531.922048,973531.922048,2.391485,1
16,13271.9,973531.922048,973531.922048,2.152336,0
16,13290.6,971645.503859,971645.503859,1.937102,1
16,13922.6,971645.503859,971645.503859,1.743392,1
16,13923.6,971645.503859,971645.503859,1.569053,1
16,13942.4,970175.136249,970175.136249,1.412148,1
16,13964.4,970061.684713,970061.684713,1.270933,1
16,13969.5,970061.684713,970061.684713,1.143840,1
16,13989.3,970024.655382,970024.655382,1.029456,1
16,14009.1,970002.054626,970002.054626,0.926510,1
16,14027.9,969012.674588,969012.674588,0.833859,1
16,14028.9,968991.363781,968991.363781,0.750473,1
16,14029.9,968991.363781,968991.363781,0.675426,0
16,14048.6,968864.748748,968864.748748,0.607883,1
16,14261.6,968836.696382,968836.696382,0.547095,1
16,14266.7,968836.696382,968836.696382,0.492385,1
16,14472.7,968819.415044,968819.415044,0.443147,1
16,14492.5,968317.051995,968317.051995,0.398832,1
16,14511.3,968315.968856,968315.968856,0.358949,1
16,14512.3,968312.801859,968312.801859,0.323054,1
16,14513.3,968312.801859,968312.801859,0.290749,1
16,14532.0,968295.785479,968295.785479,0.261674,1
16,14550.0,968249.364405,968249.364405,0.235506,1
16,14562.5,968249.364405,968249.364405,0.211956,1
16,14563.5,968249.364405,968249.364405,0.190760,1
16,14564.5,968249.364405,968249.364405,0.171684,1
16,14583.2,966556.464717,966556.464717,0.154516,1
16,14639.2,966553.353280,966553.353280,0.139064,1
16,14640.2,966553.353280,966553.353280,0.125158,1
16,14659.0,966527.111360,966527.111360,0.112642,1
16,14785.0,966525.495713,966525.495713,0.101378,1
16,15001.0,966525.378087,966525.378087,5.000000,1
16,15019.8,966417.526396,966417.526396,4.500000,1
16,15020.8,966377.452046,966377.452046,4.050000,1
16,15021.8,966377.452046,966377.452046,3.645000,1
16,15040.5,966294.486487,966294.486487,3.280500,1
16,15209.5,966281.723316,966281.723316,2.952450,1
16,15214.6,966281.723316,966281.723316,2.657205,1
16,15215.6,966281.723316,966281.723316,2.391485,1
16,15390.6,966027.317372,966027.317372,2.152336,1
16,15409.4,965972.053564,965972.053564,1.937102,1
16,15486.4,965972.011394,965972.011394,1.743392,1
16,15487.4,965972.011394,965972.011394,1.569053,1
16,15506.2,964308.173720,964308.173720,1.412148,1
16,15664.2,964283.360818,964283.360818,1.270933,1
16,15676.6,964283.360818,964283.360818,1.143840,1
16,15761.4,962537.161605,962537.161605,1.029456,1
16,15948.4,962537.161605,962537.161605,0.926510,0
16,15967.1,961500.821759,961500.821759,0.833859,1
16,15968.1,961441.204418,961441.204418,0.750473,1
16,15969.1,961441.204418,961441.204418,0.675426,1
16,15987.9,959669.465348,959669.465348,0.607883,1
16,16213.9,959632.205720,959632.205720,0.547095,1
